h3_index,flood_area_km2,month,quality,tower_count
876ae3673ffffff,,,,0
8796d200bffffff,,,,0
876ac07a4ffffff,,,,0
876ac579cffffff,,,,0
876af12d4ffffff,,,,0
876ad159bffffff,,,,0
876adad85ffffff,0.11037397850158648,2025-09,valid,0
876adc819ffffff,,,,0
876ac0b72ffffff,,,,0
876ac4c1bffffff,,,,0
876aee50cffffff,,,,0
876ac4836ffffff,,,,0
876ad0635ffffff,,,,0
876ac6698ffffff,,,,0
876adc434ffffff,,,,0
876ac4083ffffff,,,,0
8796d2754ffffff,,,,0
876ad1ce4ffffff,,,,0
8796d45b6ffffff,,,,0
876af1a1dffffff,,,,0
876ad3b46ffffff,,,,0
876ae3609ffffff,,,,0
876ac5732ffffff,,,,0
876af126affffff,,,,0
876ad1531ffffff,,,,0
876ad3393ffffff,,,,0
876ae32a5ffffff,,,,0
876aeec55ffffff,,,,0
876adad1bffffff,0.5969187496043031,2025-09,valid,0
8796d3650ffffff,,,,0
876ad5644ffffff,,,,0
876ac0b08ffffff,,,,0
876ac296affffff,,,,0
876ae26a3ffffff,,,,0
8796d60b4ffffff,,,,0
876aee4a2ffffff,,,,0
876ad1980ffffff,,,,0
876ac662effffff,,,,0
876ac5b81ffffff,,,,0
876ae3a58ffffff,,,,0
8796d058effffff,,,,0
876ac4019ffffff,,,,0
8796d26eaffffff,,,,0
8796d63aeffffff,,,,0
876ad3adcffffff,,,,0
876ac005bffffff,,,,0
8796d00d5ffffff,,,,0
876af1200ffffff,,,,0
8796d3d99ffffff,,,,0
876ad3329ffffff,,,,0
876ac6334ffffff,,,,0
876ad02d1ffffff,,,,0
8796d2ba3ffffff,,,,0
876ac44d2ffffff,,,,0
876adacb1ffffff,,,,0
876ac2670ffffff,,,,0
876ade975ffffff,0.01000000000000582,2025-09,valid,0
876ac080effffff,,,,0
876ac0a9effffff,,,,0
876ac2900ffffff,,,,0
876ac4762ffffff,,,,0
876adc883ffffff,,,,0
876ac4c85ffffff,,,,0
876ac214dffffff,,,,0
8796d2680ffffff,,,,0
876ad1c10ffffff,,,,0
8796d6344ffffff,,,,0
876ad3a72ffffff,,,,0
876ad145dffffff,,,,0
876ad3099ffffff,,,,0
876ac6d0dffffff,,,,0
876ade90bffffff,,,,0
876ac0a34ffffff,,,,0
876ac2896ffffff,,,,0
876ada494ffffff,,,,0
876ac655affffff,,,,0
876ade158ffffff,,,,0
876ad56aeffffff,,,,0
8796d6a8dffffff,,,,0
876ac20e3ffffff,,,,0
8796d07b4ffffff,,,,0
8796d2616ffffff,,,,0
876ad384cffffff,,,,0
8796d611effffff,,,,0
876ad1ba6ffffff,,,,0
8796d62daffffff,,,,0
876af1723ffffff,,,,0
876ad3a08ffffff,,,,0
876ad586affffff,,,,0
8796d245affffff,,,,0
8796d0001ffffff,,,,0
876ae3ac2ffffff,,,,0
8796d3cc5ffffff,,,,0
876ad3255ffffff,,,,0
8796d3512ffffff,,,,0
876ac00c5ffffff,,,,0
876ac6ca3ffffff,,,,0
8796d68d1ffffff,,,,0
876ade8a1ffffff,,,,0
876ac282cffffff,,,,0
876ac468effffff,,,,0
876ac64f0ffffff,,,,0
876ac639effffff,,,,0
8796d2c0dffffff,,,,0
876ade0eeffffff,,,,0
8796d0dabffffff,,,,0
8796d6a23ffffff,,,,0
876ac26daffffff,,,,0
8796d074affffff,,,,0
8796d25acffffff,,,,0
8796d6270ffffff,,,,0
876ad399effffff,,,,0
876ac558affffff,,,,0
876ad1389ffffff,,,,0
876ac6b51ffffff,,,,0
876ad0aeeffffff,,,,0
876af10c2ffffff,,,,0
8796d3c5bffffff,,,,0
876ad504dffffff,,,,0
8796d34a8ffffff,,,,0
876ac0960ffffff,,,,0
876ac4624ffffff,,,,0
8796d2cf5ffffff,,,,0
876ac6486ffffff,,,,0
8796892e6ffffff,,,,0
876ad2285ffffff,,,,0
876ad3103ffffff,,,,0
876ade084ffffff,,,,0
876ac01adffffff,,,,0
876ad12a1ffffff,,,,0
8796d06e0ffffff,,,,0
876ac54a2ffffff,,,,0
8796d2542ffffff,,,,0
876ac5cd3ffffff,,,,0
876ad1ad2ffffff,,,,0
8796d6206ffffff,,,,0
876ad3934ffffff,,,,0
876ad5796ffffff,,,,0
876ac5520ffffff,,,,0
876ad5718ffffff,,,,0
876af1058ffffff,,,,0
876ad3181ffffff,,,,0
876ad38b6ffffff,,,,0
8796d6188ffffff,,,,0
876ac4d6dffffff,,,,0
876ad0b6cffffff,,,,0
876af178dffffff,,,,0
876ad1a54ffffff,,,,0
876ac5c55ffffff,,,,0
8796d24c4ffffff,,,,0
876ac08f6ffffff,,,,0
876ac2758ffffff,,,,0
8796d0662ffffff,,,,0
8796d2c8bffffff,,,,0
876ac641cffffff,,,,0
876ad221bffffff,,,,0
876ade01affffff,,,,0
876ac0143ffffff,,,,0
876ade006ffffff,,,,0
8796d0676ffffff,,,,0
8796d24d8ffffff,,,,0
876adc1a4ffffff,,,,0
879689268ffffff,,,,0
876ac6408ffffff,,,,0
876ad03a5ffffff,,,,0
876ac5c69ffffff,,,,0
876ac45a6ffffff,,,,0
876ad1a68ffffff,,,,0
876af17a1ffffff,,,,0
8796d619cffffff,,,,0
876ad38caffffff,,,,0
876ac2744ffffff,,,,0
876ad572cffffff,,,,0
876ae338dffffff,,,,0
876ac08e2ffffff,,,,0
876ac54b6ffffff,,,,0
876ad12b5ffffff,,,,0
876ac4d03ffffff,,,,0
876ac6b65ffffff,,,,0
876ac088cffffff,,,,0
876ac26eeffffff,,,,0
8796d342affffff,,,,0
876ac4d59ffffff,,,,0
876ac4550ffffff,,,,0
8796d2c21ffffff,,,,0
876ac63b2ffffff,,,,0
879689212ffffff,,,,0
8796d68e5ffffff,,,,0
876ac00d9ffffff,,,,0
8796d060cffffff,,,,0
876ac3d9dffffff,,,,0
876ae3ad6ffffff,,,,0
8796d246effffff,,,,0
876ad316dffffff,,,,0
8796d6132ffffff,,,,0
876ad3860ffffff,,,,0
876ad56c2ffffff,,,,0
876af1044ffffff,,,,0
876ad130bffffff,,,,0
876ae3323ffffff,,,,0
876ac544cffffff,,,,0
876ac550cffffff,,,,0
876ad124bffffff,,,,0
876ad30adffffff,,,,0
876ac4c99ffffff,,,,0
876ad0a98ffffff,,,,0
876ac0822ffffff,,,,0
876ac2684ffffff,,,,0
876ad5782ffffff,,,,0
876ac44e6ffffff,,,,0
876ad02e5ffffff,,,,0
876ad3920ffffff,,,,0
876ac6348ffffff,,,,0
8796d05a2ffffff,,,,0
876ac3d33ffffff,,,,0
876ae3a6cffffff,,,,0
8796d252effffff,,,,0
8796d2404ffffff,,,,0
876ac5b95ffffff,,,,0
876af16cdffffff,,,,0
8796d06ccffffff,,,,0
876ad1994ffffff,,,,0
8796d60c8ffffff,,,,0
876ad5658ffffff,,,,0
876ac0199ffffff,,,,0
876ad3043ffffff,,,,0
8796d69a5ffffff,,,,0
876ade070ffffff,,,,0
8796892d2ffffff,,,,0
