shapeName,shapeISO,month,flood_area_km2,quality,tower_count
Walikale,,2025-06,0.0,valid,0
Walikale,,2025-07,0.0,valid,0
Walikale,,2025-08,0.0,valid,0
Walikale,,2025-09,2.815,valid,0
Walikale,,2025-10,0.0,valid,0
Walikale,,2025-11,0.0,valid,0
Walikale,,2025-12,0.0,valid,0
Walikale,,2026-01,0.0,valid,0
Walikale,,2026-02,0.0,valid,0
Walungu,,2025-05,0.0,valid,0
Walungu,,2025-06,0.0,valid,0
Walungu,,2025-07,0.0,valid,0
Walungu,,2025-08,0.0,valid,0
Walungu,,2025-09,3.23,valid,0
Walungu,,2025-10,0.0,valid,0
Walungu,,2025-11,0.0,valid,0
Walungu,,2025-12,0.0,valid,0
Walungu,,2026-01,0.0,valid,0
Walungu,,2026-02,0.0,valid,0
